,sheetname,Eff_A,Eff_B,Eff_C,maxEfficiency,minRange,cost_install,cost_OM_fix,cost_OM_var,co2CaptureEff,solarCapacity_MW,battSize_MW,rampRate,demand_MWh,solar_MWh,powerOutput_MWh,heatInput_MWh,solarUsed_MWh,loadShed_MWh,gridUsed_MWh,fuelCost_dollars,LCOE,efficiency_pct,emissions_tons,deficit_max,deficit_min,deficit_pct_time,deficit_pct_energy,solarCurtail_pct,loadShed_pct_energy,loadShed_pct_time,emissions_hr00,emissions_hr01,emissions_hr02,emissions_hr03,emissions_hr04,emissions_hr05,emissions_hr06,emissions_hr07,emissions_hr08,emissions_hr09,emissions_hr10,emissions_hr11,emissions_hr12,emissions_hr13,emissions_hr14,emissions_hr15,emissions_hr16,emissions_hr17,emissions_hr18,emissions_hr19,emissions_hr20,emissions_hr21,emissions_hr22,emissions_hr23,costs_hr00,costs_hr01,costs_hr02,costs_hr03,costs_hr04,costs_hr05,costs_hr06,costs_hr07,costs_hr08,costs_hr09,costs_hr10,costs_hr11,costs_hr12,costs_hr13,costs_hr14,costs_hr15,costs_hr16,costs_hr17,costs_hr18,costs_hr19,costs_hr20,costs_hr21,costs_hr22,costs_hr23,demand_hr00,demand_hr01,demand_hr02,demand_hr03,demand_hr04,demand_hr05,demand_hr06,demand_hr07,demand_hr08,demand_hr09,demand_hr10,demand_hr11,demand_hr12,demand_hr13,demand_hr14,demand_hr15,demand_hr16,demand_hr17,demand_hr18,demand_hr19,demand_hr20,demand_hr21,demand_hr22,demand_hr23
0,sCO2,-0.0109316424074,2.03335332432,5.43874824389,38.33,46.11,750.0,17.67,3.54,0.0,0.635,0.0,1.0,294127.655274,953.806080394,293174.468445,840287.865304,953.375377675,1.181094687,0.0,8890245.61491,0.0451091194903,34.8897658232,151251.815755,7.1054273576e-15,-2.1451429757,0.0236573048606,0.000337454080488,0.0451562143986,0.000402864101114,0.0120194371469,5922.5189287,5889.95641802,5832.24702631,5833.26951928,5851.94807244,5965.77164852,6127.96037207,6234.95463379,6357.71348331,6468.9993123,6551.5030383,6596.06711663,6624.64091812,6655.30214123,6673.67656674,6668.45638146,6633.2819316,6553.75680733,6473.18456126,6421.02840816,6384.70906577,6308.31469426,6175.75285391,6046.80185517,348112.501476,346198.549459,342806.519658,342866.619522,343964.503369,350654.80023,360187.892981,366476.777919,373692.270297,380233.404023,385082.789696,387702.167189,389381.671743,391183.870301,392263.8782,391957.04731,389889.571313,385215.261231,380479.403656,377413.78088,375279.010644,370788.719251,362997.028857,355417.575709,10947.6323667,10800.2275333,10648.6265667,10626.08885,10697.2701,11111.2796333,11683.5244333,12053.1964833,12471.8314833,12853.0003167,13134.73005,13290.35265,13385.4349667,13475.70755,13516.2443167,13481.8024,13352.75645,13097.6064333,12831.7719667,12653.7271999,12522.3291741,12269.8707333,11832.0953667,11390.54825
1,sCO2,-0.0109316424074,2.03335332432,5.43874824389,38.33,46.11,750.0,17.67,3.54,0.0,0.635,0.0,1.25,294127.655274,953.806080394,293174.345598,840287.574951,953.55850614,0.820436838883,0.0,8890242.54298,0.0451091075675,34.8897632594,151251.763491,0.000377000517993,-1.8951429757,0.0118286524303,0.000194339544892,0.025956455735,0.000279846054473,0.00763138866472,5922.51845872,5889.95233526,5832.24702631,5833.26951928,5851.94807244,5965.77164852,6127.96489778,6234.95615882,6357.7188719,6469.00233115,6551.4991785,6596.06394374,6624.6399658,6655.30842473,6673.67609231,6668.45588379,6633.28484322,6553.77245538,6473.18456126,6421.02840816,6384.62879221,6308.31822378,6175.75285391,6046.80054415,348112.473852,346198.309484,342806.519658,342866.619522,343964.503369,350654.80023,360188.158992,366476.867557,373692.587026,380233.581464,385082.562825,387701.980693,389381.615767,391184.239631,392263.850315,391957.018058,389889.742452,385216.180988,380479.403656,377413.78088,375274.292342,370788.926709,362997.028857,355417.49865,10947.6323667,10800.2275333,10648.6265667,10626.08885,10697.2701,11111.2796333,11683.5244333,12053.1964833,12471.8314833,12853.0003167,13134.73005,13290.35265,13385.4349667,13475.70755,13516.2443167,13481.8024,13352.75645,13097.6064333,12831.7719667,12653.7271999,12522.3291741,12269.8707333,11832.0953667,11390.54825
2,sCO2,-0.0109316424074,2.03335332432,5.43874824389,38.33,46.11,750.0,17.67,3.54,0.0,0.635,0.0,1.5,294127.655274,953.806080394,293174.267631,840287.387519,953.617160416,0.587558161754,0.0,8890240.55995,0.045109099887,34.8897617631,151251.729753,7.1054273576e-15,-1.6451429757,0.00705903451486,0.000121729893787,0.0198069588239,0.000200412596406,0.00515118734868,5922.51845872,5889.95006098,5832.24702631,5833.26951928,5851.94807244,5965.77164852,6127.96489778,6234.95615882,6357.72010873,6469.00503402,6551.49692202,6596.06332171,6624.63969319,6655.31134407,6673.67711857,6668.45793148,6633.28494852,6553.78643619,6473.18456126,6421.02840816,6384.57572458,6308.31895997,6175.75285391,6046.80054415,348112.473852,346198.175807,342806.519658,342866.619522,343964.503369,350654.80023,360188.158992,366476.867557,373692.659724,380233.740333,385082.430194,387701.944132,389381.599744,391184.411224,392263.910636,391957.138417,389889.748641,385217.002749,380479.403656,377413.78088,375271.173145,370788.96998,362997.028857,355417.49865,10947.6323667,10800.2275333,10648.6265667,10626.08885,10697.2701,11111.2796333,11683.5244333,12053.1964833,12471.8314833,12853.0003167,13134.73005,13290.35265,13385.4349667,13475.70755,13516.2443167,13481.8024,13352.75645,13097.6064333,12831.7719667,12653.7271999,12522.3291741,12269.8707333,11832.0953667,11390.54825
3,sCO2,-0.0109316424074,2.03335332432,5.43874824389,38.33,46.11,750.0,17.67,3.54,0.0,0.635,0.0,1.75,294127.655274,953.806080394,293174.210058,840287.255622,953.675554389,0.447397996203,0.0,8890239.16448,0.0451090944497,34.8897603881,151251.706012,7.1054273576e-15,-1.3951429757,0.00553275678192,7.37976134591e-05,0.0136847528538,0.000152604827046,0.00267098603265,5922.51845872,5889.95002085,5832.24702631,5833.26951928,5851.94807244,5965.77164852,6127.96489778,6234.95615882,6357.72010873,6469.00845018,6551.49135579,6596.06260827,6624.63884866,6655.31333935,6673.68086691,6668.45976573,6633.28494852,6553.79429562,6473.18456126,6421.02840816,6384.54029411,6308.31895997,6175.75285391,6046.80054415,348112.473852,346198.173448,342806.519658,342866.619522,343964.503369,350654.80023,360188.158992,366476.867557,373692.659724,380233.941127,385082.103024,387701.902197,389381.550105,391184.528502,392264.130955,391957.24623,389889.748641,385217.464709,380479.403656,377413.78088,375269.09062,370788.96998,362997.028857,355417.49865,10947.6323667,10800.2275333,10648.6265667,10626.08885,10697.2701,11111.2796333,11683.5244333,12053.1964833,12471.8314833,12853.0003167,13134.73005,13290.35265,13385.4349667,13475.70755,13516.2443167,13481.8024,13352.75645,13097.6064333,12831.7719667,12653.7271999,12522.3291741,12269.8707333,11832.0953667,11390.54825
4,sCO2,-0.0109316424074,2.03335332432,5.43874824389,38.33,46.11,750.0,17.67,3.54,0.0,0.635,0.0,2.0,294127.655274,953.806080394,293174.161238,840287.147872,953.741542535,0.361197876229,0.0,8890238.02449,0.0451090899863,34.889759052,151251.686617,7.1054273576e-15,-1.1451429757,0.00381569433236,3.86538580199e-05,0.00676635007258,0.000123202493257,0.00114470829971,5922.51845872,5889.95002085,5832.24702631,5833.26951928,5851.94807244,5965.77164852,6127.96489778,6234.95615882,6357.72010873,6469.00886271,6551.48626984,6596.06173047,6624.63928246,6655.31436884,6673.68292872,6668.46137713,6633.28494852,6553.80137266,6473.18456126,6421.02840816,6384.51423673,6308.31895997,6175.75285391,6046.80054415,348112.473852,346198.173448,342806.519658,342866.619522,343964.503369,350654.80023,360188.158992,366476.867557,373692.659724,380233.965375,385081.804083,387701.850602,389381.575602,391184.589013,392264.252143,391957.340945,389889.748641,385217.880682,380479.403656,377413.78088,375267.559026,370788.96998,362997.028857,355417.49865,10947.6323667,10800.2275333,10648.6265667,10626.08885,10697.2701,11111.2796333,11683.5244333,12053.1964833,12471.8314833,12853.0003167,13134.73005,13290.35265,13385.4349667,13475.70755,13516.2443167,13481.8024,13352.75645,13097.6064333,12831.7719667,12653.7271999,12522.3291741,12269.8707333,11832.0953667,11390.54825
5,sCO2,-0.0109316424074,2.03335332432,5.43874824389,38.33,46.11,750.0,17.67,3.54,0.0,0.635,0.0,2.25,294127.655274,953.806080394,293174.12529,840287.065836,953.789762316,0.3109419175,0.0,8890237.15655,0.0451090866027,34.8897581802,151251.671851,7.1054273576e-15,-0.895142975701,0.0020986318828,1.73951227784e-05,0.00171083812087,0.00010606049125,0.000763138866472,5922.51845872,5889.95002085,5832.24702631,5833.26951928,5851.94807244,5965.77164852,6127.96489778,6234.95615882,6357.72010873,6469.00886271,6551.48438839,6596.06280113,6624.63941623,6655.31366806,6673.68359325,6668.46162338,6633.28494852,6553.80687782,6473.18456126,6421.02840816,6384.49443219,6308.31895997,6175.75285391,6046.80054415,348112.473852,346198.173448,342806.519658,342866.619522,343964.503369,350654.80023,360188.158992,366476.867557,373692.659724,380233.965375,385081.693495,387701.913533,389381.583465,391184.547823,392264.291203,391957.355418,389889.748641,385218.204263,380479.403656,377413.78088,375266.394959,370788.96998,362997.028857,355417.49865,10947.6323667,10800.2275333,10648.6265667,10626.08885,10697.2701,11111.2796333,11683.5244333,12053.1964833,12471.8314833,12853.0003167,13134.73005,13290.35265,13385.4349667,13475.70755,13516.2443167,13481.8024,13352.75645,13097.6064333,12831.7719667,12653.7271999,12522.3291741,12269.8707333,11832.0953667,11390.54825
6,sCO2,-0.0109316424074,2.03335332432,5.43874824389,38.33,46.11,750.0,17.67,3.54,0.0,0.635,0.0,2.5,294127.655274,953.806080394,293174.096834,840286.998296,953.804978598,0.269275250833,0.0,8890236.44197,0.0451090838307,34.8897575982,151251.659693,7.1054273576e-15,-0.645142975701,0.000572354149854,7.7300797075e-06,0.000115515647195,9.18482409397e-05,0.000763138866472,5922.51845872,5889.95002085,5832.24702631,5833.26951928,5851.94807244,5965.77164852,6127.96489778,6234.95615882,6357.72010873,6469.00886271,6551.48443119,6596.06377452,6624.63993611,6655.31391257,6673.68280437,6668.46144034,6633.28494852,6553.81112706,6473.18456126,6421.02840816,6384.47721693,6308.31895997,6175.75285391,6046.80054415,348112.473852,346198.173448,342806.519658,342866.619522,343964.503369,350654.80023,360188.158992,366476.867557,373692.659724,380233.965375,385081.696011,387701.970747,389381.614022,391184.562195,392264.244835,391957.34466,389889.748641,385218.454024,380479.403656,377413.78088,375265.383084,370788.96998,362997.028857,355417.49865,10947.6323667,10800.2275333,10648.6265667,10626.08885,10697.2701,11111.2796333,11683.5244333,12053.1964833,12471.8314833,12853.0003167,13134.73005,13290.35265,13385.4349667,13475.70755,13516.2443167,13481.8024,13352.75645,13097.6064333,12831.7719667,12653.7271999,12522.3291741,12269.8707333,11832.0953667,11390.54825
7,sCO2,-0.0109316424074,2.03335332432,5.43874824389,38.33,46.11,750.0,17.67,3.54,0.0,0.635,0.0,2.75,294127.655274,953.806080394,293174.078548,840286.950812,953.805229219,0.238739361667,0.0,8890235.93959,0.0451090819026,34.8897573936,151251.651146,7.1054273576e-15,-0.395142975701,0.000572354149854,3.48022432128e-06,8.92397464156e-05,8.14326296681e-05,0.000572354149854,5922.51845872,5889.95002085,5832.24702631,5833.26951928,5851.94807244,5965.77164852,6127.96489778,6234.95615882,6357.72010873,6469.00886271,6551.48443119,6596.06377452,6624.63993611,6655.31391257,6673.68280437,6668.46144034,6633.28494852,6553.81541054,6473.18456126,6421.02840816,6384.46438634,6308.31895997,6175.75285391,6046.80054415,348112.473852,346198.173448,342806.519658,342866.619522,343964.503369,350654.80023,360188.158992,366476.867557,373692.659724,380233.965375,385081.696011,387701.970747,389381.614022,391184.562195,392264.244835,391957.34466,389889.748641,385218.705797,380479.403656,377413.78088,375264.62893,370788.96998,362997.028857,355417.49865,10947.6323667,10800.2275333,10648.6265667,10626.08885,10697.2701,11111.2796333,11683.5244333,12053.1964833,12471.8314833,12853.0003167,13134.73005,13290.35265,13385.4349667,13475.70755,13516.2443167,13481.8024,13352.75645,13097.6064333,12831.7719667,12653.7271999,12522.3291741,12269.8707333,11832.0953667,11390.54825
8,sCO2,-0.0109316424074,2.03335332432,5.43874824389,38.33,46.11,750.0,17.67,3.54,0.0,0.635,0.0,3.0,294127.655274,953.806080394,293174.061365,840286.907845,953.805229219,0.213739361667,0.0,8890235.485,0.0451090801503,34.8897571327,151251.643412,7.1054273576e-15,-0.145142975701,0.000190784716618,8.2244887607e-07,8.92397464156e-05,7.29052770465e-05,0.000572354149854,5922.51845872,5889.95002085,5832.24702631,5833.26951928,5851.94807244,5965.77164852,6127.96489778,6234.95615882,6357.72010873,6469.00886271,6551.48443119,6596.06377452,6624.63993611,6655.31391257,6673.68280437,6668.46144034,6633.28494852,6553.81815285,6473.18456126,6421.02840816,6384.45391003,6308.31895997,6175.75285391,6046.80054415,348112.473852,346198.173448,342806.519658,342866.619522,343964.503369,350654.80023,360188.158992,366476.867557,373692.659724,380233.965375,385081.696011,387701.970747,389381.614022,391184.562195,392264.244835,391957.34466,389889.748641,385218.866984,380479.403656,377413.78088,375264.013156,370788.96998,362997.028857,355417.49865,10947.6323667,10800.2275333,10648.6265667,10626.08885,10697.2701,11111.2796333,11683.5244333,12053.1964833,12471.8314833,12853.0003167,13134.73005,13290.35265,13385.4349667,13475.70755,13516.2443167,13481.8024,13352.75645,13097.6064333,12831.7719667,12653.7271999,12522.3291741,12269.8707333,11832.0953667,11390.54825
9,sCO2,-0.0109316424074,2.03335332432,5.43874824389,38.33,46.11,750.0,17.67,3.54,0.0,0.635,0.0,3.25,294127.655274,953.806080394,293174.038784,840286.855456,953.805229219,0.188739361667,0.0,8890234.93072,0.045109077994,34.8897566207,151251.633982,7.1054273576e-15,-7.1054273576e-15,0.0,0.0,8.92397464156e-05,6.43779246107e-05,0.000572354149854,5922.51845872,5889.95002085,5832.24702631,5833.26951928,5851.94807244,5965.77164852,6127.96489778,6234.95615882,6357.72010873,6469.00886271,6551.48443119,6596.06377452,6624.63993611,6655.31391257,6673.68280437,6668.46144034,6633.28494852,6553.8189863,6473.18456126,6421.02840816,6384.44364653,6308.31895997,6175.75285391,6046.80054415,348112.473852,346198.173448,342806.519658,342866.619522,343964.503369,350654.80023,360188.158992,366476.867557,373692.659724,380233.965375,385081.696011,387701.970747,389381.614022,391184.562195,392264.244835,391957.34466,389889.748641,385218.915973,380479.403656,377413.78088,375263.409891,370788.96998,362997.028857,355417.49865,10947.6323667,10800.2275333,10648.6265667,10626.08885,10697.2701,11111.2796333,11683.5244333,12053.1964833,12471.8314833,12853.0003167,13134.73005,13290.35265,13385.4349667,13475.70755,13516.2443167,13481.8024,13352.75645,13097.6064333,12831.7719667,12653.7271999,12522.3291741,12269.8707333,11832.0953667,11390.54825
