,sheetname,Eff_A,Eff_B,Eff_C,maxEfficiency,rampRate,minRange,cost_install,cost_OM_fix,cost_OM_var,co2CaptureEff,solarCapacity_MW,battSize_MW,demand_MWh,solar_MWh,powerOutput_MWh,heatInput_MWh,solarUsed_MWh,loadShed_MWh,gridUsed_MWh,fuelCost_dollars,LCOE,efficiency_pct,emissions_tons,deficit_max,deficit_min,deficit_pct_time,deficit_pct_energy,solarCurtail_pct,loadShed_pct_energy,loadShed_pct_time,emissions_hr00,emissions_hr01,emissions_hr02,emissions_hr03,emissions_hr04,emissions_hr05,emissions_hr06,emissions_hr07,emissions_hr08,emissions_hr09,emissions_hr10,emissions_hr11,emissions_hr12,emissions_hr13,emissions_hr14,emissions_hr15,emissions_hr16,emissions_hr17,emissions_hr18,emissions_hr19,emissions_hr20,emissions_hr21,emissions_hr22,emissions_hr23,costs_hr00,costs_hr01,costs_hr02,costs_hr03,costs_hr04,costs_hr05,costs_hr06,costs_hr07,costs_hr08,costs_hr09,costs_hr10,costs_hr11,costs_hr12,costs_hr13,costs_hr14,costs_hr15,costs_hr16,costs_hr17,costs_hr18,costs_hr19,costs_hr20,costs_hr21,costs_hr22,costs_hr23,demand_hr00,demand_hr01,demand_hr02,demand_hr03,demand_hr04,demand_hr05,demand_hr06,demand_hr07,demand_hr08,demand_hr09,demand_hr10,demand_hr11,demand_hr12,demand_hr13,demand_hr14,demand_hr15,demand_hr16,demand_hr17,demand_hr18,demand_hr19,demand_hr20,demand_hr21,demand_hr22,demand_hr23
0,sCO2,-0.0056022045186,1.05458279104,50.0415838063,54.5095905059,46.5075791483,29.4080962787,962.0,0.0,8.0,0.0,0.635,0.0,294127.655274,953.806080394,293173.849194,567172.294535,953.806080394,0.0,0.0,6000682.87618,0.0389127132539,51.6904390462,102091.013016,7.1054273576e-15,-7.1054273576e-15,0.0,0.0,0.0,0.0,0.0,3905.52288303,3868.35562559,3822.22638662,3818.68370301,3837.79222693,3949.47610399,4104.29872454,4202.91806731,4311.97452821,4408.59407743,4479.23440793,4517.32332418,4541.71125715,4567.66526816,4582.8829701,4578.7034416,4550.31593908,4484.45746645,4415.69083726,4370.00227255,4335.62334078,4266.30651975,4145.85622129,4025.39742339,229557.956125,227373.347326,224661.973169,224453.742099,225576.898672,232141.428779,241241.558365,247038.184178,253448.280602,259127.362996,263279.444644,265518.226499,266951.695004,268477.214095,269371.676798,269126.013401,267457.459086,263586.444417,259544.494768,256859.022465,254838.305253,250764.01655,243684.215674,236603.915219,10947.6323667,10800.2275333,10648.6265667,10626.08885,10697.2701,11111.2796333,11683.5244333,12053.1964833,12471.8314833,12853.0003167,13134.73005,13290.35265,13385.4349667,13475.70755,13516.2443167,13481.8024,13352.75645,13097.6064333,12831.7719667,12653.7271999,12522.3291741,12269.8707333,11832.0953667,11390.54825
1,sCO2,-0.0056022045186,1.05458279104,50.0415838063,43.531220474,47.7131806156,33.8860339999,962.0,0.0,8.0,0.0,0.635,0.0,294127.655274,953.806080394,293173.849194,710210.492258,953.806080394,0.0,0.0,7514027.00809,0.0440579082221,41.2798532815,127837.888606,7.1054273576e-15,-7.1054273576e-15,0.0,0.0,0.0,0.0,0.0,4890.4774722,4843.93680641,4786.17398931,4781.73785748,4805.66546168,4945.51548974,5139.38365046,5262.87432983,5399.43431967,5520.42086694,5608.87635811,5656.57112075,5687.10957625,5719.60906735,5738.66460248,5733.43101646,5697.88431869,5615.41664754,5529.30739636,5472.09638952,5429.04725208,5342.24905325,5191.42175336,5040.58381051,287451.398088,284715.841177,281320.67115,281059.925178,282466.336581,290686.410453,302081.550122,309340.057831,317366.750567,324478.070957,329677.28816,332480.680319,334275.662871,336185.910736,337305.952746,336998.33419,334908.978287,330061.711839,325000.401409,321637.665562,319107.332928,314005.527686,305140.23417,296274.315084,10947.6323667,10800.2275333,10648.6265667,10626.08885,10697.2701,11111.2796333,11683.5244333,12053.1964833,12471.8314833,12853.0003167,13134.73005,13290.35265,13385.4349667,13475.70755,13516.2443167,13481.8024,13352.75645,13097.6064333,12831.7719667,12653.7271999,12522.3291741,12269.8707333,11832.0953667,11390.54825
2,sCO2,-0.0056022045186,1.05458279104,50.0415838063,50.6116090532,35.0105802213,20.8895678542,962.0,0.0,8.0,0.0,0.635,0.0,294127.655274,953.806080394,293173.849194,610854.50749,953.806080394,0.0,0.0,6462840.68924,0.0404839963508,47.9940551472,109953.811348,7.1054273576e-15,-7.1054273576e-15,0.0,0.0,0.0,0.0,0.0,4206.31663463,4166.28684657,4116.60484726,4112.78931488,4133.36953024,4253.65502439,4420.40170179,4526.61646339,4644.07218426,4748.13313316,4824.2140079,4865.23643865,4891.50267014,4919.45559514,4935.845327,4931.34390151,4900.77006347,4829.83933351,4755.77646794,4706.56908253,4669.54237013,4594.88693829,4465.15985456,4335.42361679,247237.944413,244885.082426,241964.884911,241740.616397,242950.275722,250020.389767,259821.388916,266064.456571,272968.242831,279084.71416,283556.578908,285967.786227,287511.656945,289154.667759,290118.019776,289853.435989,288056.373731,283887.223048,279533.972393,276641.671629,274465.323755,270077.243373,262452.173674,254826.56592,10947.6323667,10800.2275333,10648.6265667,10626.08885,10697.2701,11111.2796333,11683.5244333,12053.1964833,12471.8314833,12853.0003167,13134.73005,13290.35265,13385.4349667,13475.70755,13516.2443167,13481.8024,13352.75645,13097.6064333,12831.7719667,12653.7271999,12522.3291741,12269.8707333,11832.0953667,11390.54825
3,sCO2,-0.0056022045186,1.05458279104,50.0415838063,45.3011943535,44.6603141104,28.6346500101,962.0,0.0,8.0,0.0,0.635,0.0,294127.655274,953.806080394,293173.849194,682461.686997,953.806080394,0.0,0.0,7220444.64842,0.0430597621641,42.9582868577,122843.103659,7.1054273576e-15,-7.1054273576e-15,0.0,0.0,0.0,0.0,0.0,4699.40044857,4654.67818435,4599.1722322,4594.90942553,4617.90214855,4752.28806247,4938.58155357,5057.24729885,5188.47172043,5304.73117315,5389.73059852,5435.56186759,5464.90714774,5496.13684339,5514.44785512,5509.4187518,5475.26090762,5396.01535072,5313.27049485,5258.29479303,5216.92763882,5133.52075333,4988.58646321,4843.64194597,276220.315255,273591.639947,270329.123426,270078.565123,271430.026287,279328.931672,290278.849093,297253.757899,304966.83779,311800.310066,316796.387402,319490.247551,321215.097906,323050.710017,324126.990596,323831.391078,321823.668903,317165.79117,312302.232419,309070.882835,306639.413437,301736.942057,293218.02656,284698.509935,10947.6323667,10800.2275333,10648.6265667,10626.08885,10697.2701,11111.2796333,11683.5244333,12053.1964833,12471.8314833,12853.0003167,13134.73005,13290.35265,13385.4349667,13475.70755,13516.2443167,13481.8024,13352.75645,13097.6064333,12831.7719667,12653.7271999,12522.3291741,12269.8707333,11832.0953667,11390.54825
4,sCO2,-0.0056022045186,1.05458279104,50.0415838063,49.8689128779,59.8932547606,34.2037103245,962.0,0.0,8.0,0.0,0.635,0.0,294127.655274,953.806080394,293173.849194,619951.944754,953.806080394,0.0,0.0,6559091.5755,0.0408112382287,47.289770066,111591.350056,7.1054273576e-15,-7.1054273576e-15,0.0,0.0,0.0,0.0,0.0,4268.96117801,4228.33522757,4177.91331577,4174.04095879,4194.92767466,4317.00457695,4486.23460745,4594.03122221,4713.2362075,4818.84693288,4896.06087773,4937.69425427,4964.35166793,4992.72089498,5009.35471861,5004.78625353,4973.75708027,4901.76998115,4826.60409961,4776.66387014,4739.08572005,4663.31844718,4531.65934201,4399.99094647,250920.051463,248532.148376,245568.460449,245340.851911,246568.526655,253743.93569,263690.900816,270026.946283,277033.550418,283241.114166,287779.578258,290226.695612,291793.559148,293461.039272,294438.738461,294170.214235,292346.388385,288115.14667,283697.063188,280761.687478,278552.927323,274099.495395,266360.865769,258621.690076,10947.6323667,10800.2275333,10648.6265667,10626.08885,10697.2701,11111.2796333,11683.5244333,12053.1964833,12471.8314833,12853.0003167,13134.73005,13290.35265,13385.4349667,13475.70755,13516.2443167,13481.8024,13352.75645,13097.6064333,12831.7719667,12653.7271999,12522.3291741,12269.8707333,11832.0953667,11390.54825
5,sCO2,-0.0056022045186,1.05458279104,50.0415838063,56.3920947396,97.2951827367,34.1540062794,962.0,0.0,8.0,0.0,0.635,0.0,294127.655274,953.806080394,293173.849194,548238.714383,953.806080394,0.0,0.0,5800365.59817,0.0382316576836,53.4755830813,98682.9685889,7.1054273576e-15,-7.1054273576e-15,0.0,0.0,0.0,0.0,0.0,3775.14710259,3739.22057791,3694.63124428,3691.206824,3709.67745927,3817.63305895,3967.28732673,4062.61451781,4168.03041082,4261.42456628,4329.70675205,4366.52416834,4390.09797324,4415.18557672,4429.89527504,4425.85526929,4398.41541012,4334.75545226,4268.28441913,4224.121049,4190.88976895,4123.88691071,4007.45753394,3891.01994146,221894.757475,219783.076191,217162.214247,216960.934433,218046.597328,224391.987576,233188.332871,238791.453324,244987.565258,250477.066174,254490.541315,256654.587228,258040.203094,259514.796676,260379.400055,260141.937495,258529.083551,254787.292694,250880.27308,248284.448325,246331.18753,242392.908418,235549.448384,228705.505448,10947.6323667,10800.2275333,10648.6265667,10626.08885,10697.2701,11111.2796333,11683.5244333,12053.1964833,12471.8314833,12853.0003167,13134.73005,13290.35265,13385.4349667,13475.70755,13516.2443167,13481.8024,13352.75645,13097.6064333,12831.7719667,12653.7271999,12522.3291741,12269.8707333,11832.0953667,11390.54825
6,sCO2,-0.0056022045186,1.05458279104,50.0415838063,54.3450605577,109.450716282,23.99918212,962.0,0.0,8.0,0.0,0.635,0.0,294127.655274,953.806080394,293173.849194,568889.411552,953.806080394,0.0,0.0,6018849.97422,0.0389744792855,51.5344183317,102400.094079,7.1054273576e-15,-7.1054273576e-15,0.0,0.0,0.0,0.0,0.0,3917.34687349,3880.06709199,3833.79819652,3830.24478741,3849.41116248,3961.43316305,4116.72450988,4215.64242321,4325.0290531,4421.94111851,4492.79531296,4530.9995436,4555.46131116,4581.49389808,4596.75767169,4592.56548964,4564.09204381,4498.03418432,4429.0593638,4383.23247674,4348.74946258,4279.22278451,4158.40782216,4037.58433464,230252.944009,228061.721296,225342.13844,225133.276949,226259.833884,232844.23814,241971.918414,247786.093542,254215.596566,259911.87241,264076.524506,266322.084285,267759.892623,269290.030231,270187.200925,269940.79378,268267.187909,264384.453723,260330.26705,257636.664466,255609.829523,251523.20589,244421.97088,237320.234781,10947.6323667,10800.2275333,10648.6265667,10626.08885,10697.2701,11111.2796333,11683.5244333,12053.1964833,12471.8314833,12853.0003167,13134.73005,13290.35265,13385.4349667,13475.70755,13516.2443167,13481.8024,13352.75645,13097.6064333,12831.7719667,12653.7271999,12522.3291741,12269.8707333,11832.0953667,11390.54825
7,sCO2,-0.0056022045186,1.05458279104,50.0415838063,50.2663601621,87.448244562,28.1305838879,962.0,0.0,8.0,0.0,0.635,0.0,294127.655274,953.806080394,293173.849194,615050.093576,953.806080394,0.0,0.0,6507229.99003,0.0406349148381,47.6666619932,110709.016844,7.1054273576e-15,-7.1054273576e-15,0.0,0.0,0.0,0.0,0.0,4235.20725151,4194.90252332,4144.87928873,4141.03754979,4161.75911806,4282.87077972,4450.76273808,4557.70702394,4675.96947633,4780.74515626,4857.348584,4898.65277274,4925.09941092,4953.24432747,4969.74663037,4965.21428735,4934.43045631,4863.01254654,4788.44098843,4738.89562758,4701.61460133,4626.44640698,4495.82830724,4365.20099058,248936.070672,246567.048315,243626.793748,243400.984871,244618.952606,251737.626942,261605.943161,267891.890629,274843.094776,281001.576407,285504.15566,287931.924087,289486.398708,291140.694359,292110.663052,291844.262001,290034.856821,285837.070791,281453.92032,278541.75411,276350.458234,271932.23881,264254.79717,256576.81378,10947.6323667,10800.2275333,10648.6265667,10626.08885,10697.2701,11111.2796333,11683.5244333,12053.1964833,12471.8314833,12853.0003167,13134.73005,13290.35265,13385.4349667,13475.70755,13516.2443167,13481.8024,13352.75645,13097.6064333,12831.7719667,12653.7271999,12522.3291741,12269.8707333,11832.0953667,11390.54825
8,sCO2,-0.0056022045186,1.05458279104,50.0415838063,49.9110670682,99.3546040986,21.816923238,962.0,0.0,8.0,0.0,0.635,0.0,294127.655274,953.806080394,293173.849194,619428.341998,953.806080394,0.0,0.0,6553551.85834,0.0407924038313,47.329744107,111497.10156,7.1054273576e-15,-7.1054273576e-15,0.0,0.0,0.0,0.0,0.0,4265.35567301,4224.76403467,4174.38470852,4170.51562208,4191.38469732,4313.35849517,4482.44559634,4590.15116759,4709.25547401,4814.77700205,4891.92573308,4933.52394665,4960.15884583,4988.50411263,5005.12388756,5000.55928095,4969.55631449,4897.63001467,4822.52761718,4772.62956653,4735.08315442,4659.37987353,4527.83196581,4396.27477555,250708.127891,248322.241594,245361.056757,245133.640453,246360.27832,253529.627105,263468.191163,269798.885295,276799.57175,283001.892676,287536.523644,289981.574198,291547.114383,293213.186176,294190.059613,293921.76218,292099.476707,287871.80864,283457.45661,280524.560077,278317.66541,273867.994789,266135.901101,258403.261807,10947.6323667,10800.2275333,10648.6265667,10626.08885,10697.2701,11111.2796333,11683.5244333,12053.1964833,12471.8314833,12853.0003167,13134.73005,13290.35265,13385.4349667,13475.70755,13516.2443167,13481.8024,13352.75645,13097.6064333,12831.7719667,12653.7271999,12522.3291741,12269.8707333,11832.0953667,11390.54825
9,sCO2,-0.0056022045186,1.05458279104,50.0415838063,56.0507381577,80.4350827613,30.2142740113,962.0,0.0,8.0,0.0,0.635,0.0,294127.655274,953.806080394,293173.849194,551577.562358,953.806080394,0.0,0.0,5835690.60975,0.0383517586362,53.1518809322,99283.9612245,7.1054273576e-15,-7.1054273576e-15,0.0,0.0,0.0,0.0,0.0,3798.13825942,3761.99293734,3717.13204864,3713.68677317,3732.26989711,3840.882961,3991.44864353,4087.3563901,4193.41428017,4287.37721868,4356.0752522,4393.11689154,4416.8342641,4442.07465449,4456.87393686,4452.80932693,4425.2023553,4361.15469968,4294.27884897,4249.84651793,4216.41285488,4149.00194017,4031.86349274,3914.71677956,223246.126581,221121.584873,218484.761525,218282.25589,219374.530619,225758.565152,234608.481381,240245.725596,246479.57269,252002.505409,256040.423157,258217.648403,259611.702857,261095.276914,261965.145844,261726.237105,260103.560662,256338.981793,252408.1679,249796.534221,247831.377804,243869.114039,236983.976406,230098.352932,10947.6323667,10800.2275333,10648.6265667,10626.08885,10697.2701,11111.2796333,11683.5244333,12053.1964833,12471.8314833,12853.0003167,13134.73005,13290.35265,13385.4349667,13475.70755,13516.2443167,13481.8024,13352.75645,13097.6064333,12831.7719667,12653.7271999,12522.3291741,12269.8707333,11832.0953667,11390.54825
