,sheetname,Eff_A,Eff_B,Eff_C,maxEfficiency,rampRate,cost_install,cost_OM_fix,cost_OM_var,co2CaptureEff,minRange,battSize,solarCapacity_MW,demand_MWh,solar_MWh,powerOutput_MWh,heatInput_MWh,solarUsed_MWh,loadShed_MWh,gridUsed_MWh,fuelCost_dollars,LCOE,efficiency_pct,emissions_tons,deficit_max,deficit_min,deficit_pct_time,deficit_pct_energy,solarCurtail_pct,loadShed_pct_energy,loadShed_pct_time,emissions_hr00,emissions_hr01,emissions_hr02,emissions_hr03,emissions_hr04,emissions_hr05,emissions_hr06,emissions_hr07,emissions_hr08,emissions_hr09,emissions_hr10,emissions_hr11,emissions_hr12,emissions_hr13,emissions_hr14,emissions_hr15,emissions_hr16,emissions_hr17,emissions_hr18,emissions_hr19,emissions_hr20,emissions_hr21,emissions_hr22,emissions_hr23,costs_hr00,costs_hr01,costs_hr02,costs_hr03,costs_hr04,costs_hr05,costs_hr06,costs_hr07,costs_hr08,costs_hr09,costs_hr10,costs_hr11,costs_hr12,costs_hr13,costs_hr14,costs_hr15,costs_hr16,costs_hr17,costs_hr18,costs_hr19,costs_hr20,costs_hr21,costs_hr22,costs_hr23,demand_hr00,demand_hr01,demand_hr02,demand_hr03,demand_hr04,demand_hr05,demand_hr06,demand_hr07,demand_hr08,demand_hr09,demand_hr10,demand_hr11,demand_hr12,demand_hr13,demand_hr14,demand_hr15,demand_hr16,demand_hr17,demand_hr18,demand_hr19,demand_hr20,demand_hr21,demand_hr22,demand_hr23
0,sCO2,-0.00560220451859883,1.05458279104392,50.0415838063073,53.1,50.0,962.0,0.0,8.0,0.0,30.0,0.0,32.635,294127.6552740708,55788.54515916444,246927.73444264862,509307.3377599299,47199.92082452418,0.0,0.0,5388471.633500058,0.05124887172457788,48.48305063278745,91675.32079678738,0.000981635199991615,-0.0007777327999960448,0.0,0.0,15.394960220125753,0.0,0.0,4009.198739462013,3971.0448414684665,3923.6910575456486,3920.054329992744,3939.6701080333214,4054.281096048105,4191.645668047557,4133.595286414208,3787.5423932630233,3376.9193612200634,3154.2929969244547,3051.8411435948988,3028.5115382823924,3066.067113373206,3150.9726734895903,3309.660299955057,3703.1720927437677,4019.2865951590647,4260.56801050877,4409.560882461067,4446.017422737944,4379.559724371532,4255.911957042715,4132.255464647789,235651.79257504502,233409.19123742433,230625.841049072,230412.0822851291,231565.05412773637,238301.6333121609,246375.61759968416,242963.54516812402,222623.3251151266,198487.8157872682,185402.33281922626,179380.44055130015,178009.17819459838,180216.61144160287,185207.17158622143,194534.47763069166,217664.2263401615,236244.73431546058,250426.71972879325,259184.1896468783,261327.02406981916,257420.7882436156,250153.04725284403,242884.79342207566,10947.632366666665,10800.227533333335,10648.626566666666,10626.08885,10697.2701,11111.279633333335,11683.524433333332,12053.196483333333,12471.831483333332,12853.000316666668,13134.73005,13290.35265,13385.434966666668,13475.70755,13516.244316666667,13481.8024,13352.75645,13097.606433333332,12831.771966720833,12653.727199883331,12522.329174133334,12269.870733333333,11832.095366666666,11390.54825
1,sCO2,-0.00560220451859883,1.05458279104392,50.0415838063073,53.1,50.0,962.0,0.0,8.0,0.0,30.0,4.0,32.635,294127.6552740708,55788.54515916444,245298.3664828863,506716.0673382628,48639.37502681827,0.0,0.0,5361055.99243882,0.053315328607827395,48.409431295798086,91208.89212088728,0.000981635199991615,-0.000999996623711752,0.0,0.0,12.814763518119392,0.0,0.0,4003.5563121159744,3965.4184170617154,3918.0743114229936,3914.442317781027,3934.0480772869614,4048.61359002395,4185.955345901642,4127.900374034022,3781.631900269007,3367.9782282414126,3140.263765459406,3033.48581168075,3001.327498071577,3030.148113595508,3106.170495801094,3238.4796899821504,3609.0621242778752,3965.0379321323735,4243.539389219159,4403.3741245258925,4439.979435793655,4373.700954604312,4250.144049074068,4126.559862530778,235320.1432343723,233078.4825139608,230295.70119364042,230082.2206784626,231234.60365386694,237968.50990251882,246041.15310910763,242628.81087377752,222275.9194713672,197962.27585996746,184577.7257697806,178301.55493101294,176411.36071998492,178105.3724546693,182573.7991420865,190350.6395556175,212132.65152699957,233056.11845533617,249425.81521077055,258820.54576379972,260972.12461498263,257076.42277618675,249814.02244002023,242550.0185865313,10947.632366666665,10800.227533333335,10648.626566666666,10626.08885,10697.2701,11111.279633333335,11683.524433333332,12053.196483333333,12471.831483333332,12853.000316666668,13134.73005,13290.35265,13385.434966666668,13475.70755,13516.244316666667,13481.8024,13352.75645,13097.606433333332,12831.771966720833,12653.727199883331,12522.329174133334,12269.870733333333,11832.095366666666,11390.54825
2,sCO2,-0.00560220451859883,1.05458279104392,50.0415838063073,53.1,50.0,962.0,0.0,8.0,0.0,30.0,8.0,32.635,294127.6552740708,55788.54515916444,243963.61465702948,504598.48812807194,49739.201820243616,0.0,0.0,5338652.004395002,0.05540683781769951,48.34806690802236,90827.72786305295,0.000981635199991615,-0.0009998303146261378,0.0,0.0,10.843343058439828,0.0,0.0,3998.0777758860168,3959.9400382087924,3912.5935234570215,3908.9583587096768,3928.5656334149544,4043.126110412398,4180.44576016846,4122.345028388031,3776.088120490094,3361.5788279538974,3132.9171826845404,3025.3756765534404,2984.4999016510387,3004.4433161457887,3075.14151856127,3197.0342361336034,3534.751973811387,3903.2851539507174,4215.338078856956,4395.476569520066,4433.962069414223,4368.091671106811,4244.6217603744835,4121.069577199274,234998.12704930032,232756.47557916126,229973.55265652938,229759.88575082435,230912.357786279,237645.96804535098,245717.311903235,242302.2800019187,221950.06841547333,197586.13333195684,184145.90996001352,177824.85921075224,175422.2719970444,176594.50158234691,180749.98481321245,187914.56787940848,207764.86601624714,229426.4273822144,247768.20485725885,258356.34503067945,260618.43719112495,256746.7215572782,249489.43458201134,242227.3118153796,10947.632366666665,10800.227533333335,10648.626566666666,10626.08885,10697.2701,11111.279633333335,11683.524433333332,12053.196483333333,12471.831483333332,12853.000316666668,13134.73005,13290.35265,13385.434966666668,13475.70755,13516.244316666667,13481.8024,13352.75645,13097.606433333332,12831.771966720833,12653.727199883331,12522.329174133334,12269.870733333333,11832.095366666666,11390.54825
3,sCO2,-0.00560220451859883,1.05458279104392,50.0415838063073,53.1,50.0,962.0,0.0,8.0,0.0,30.0,12.0,32.635,294127.6552740708,55788.54515916444,242819.23847247532,502782.08580417506,50615.01420654185,0.0,0.0,5319434.467808172,0.057514358635126925,48.29512532931597,90500.7754447515,0.000981635199991615,-0.000999964229443151,0.0,0.0,9.27346453983077,0.0,0.0,3992.543238704121,3954.3871492155477,3907.0247107112555,3903.3767086744274,3922.998991444455,4037.6005340632914,4174.897760612987,4116.935467263536,3770.966252005548,3357.5728968383933,3128.76203189484,3022.5168508060633,2977.2444119886886,2989.1468464617296,3059.0809087902353,3169.3922040203897,3472.6169401088555,3841.061238163654,4174.049893950912,4383.86914920699,4427.539710929355,4362.493229361946,4239.12865655661,4115.569662977688,234672.81925272002,232430.0891038917,229646.2302184727,229431.80876541915,230585.1629415685,237321.18694660903,245391.21281825233,241984.31802026782,221649.01636788173,197350.67360305667,183901.67943026338,177656.8237862675,174995.8104380018,175695.40908647282,179805.9778611149,186289.83065853178,204112.706813065,225769.04388761928,245341.37710000356,257674.0866589442,260240.9452312921,256417.65759249666,249166.562146494,241904.0390794663,10947.632366666665,10800.227533333335,10648.626566666666,10626.08885,10697.2701,11111.279633333335,11683.524433333332,12053.196483333333,12471.831483333332,12853.000316666668,13134.73005,13290.35265,13385.434966666668,13475.70755,13516.244316666667,13481.8024,13352.75645,13097.606433333332,12831.771966720833,12653.727199883331,12522.329174133334,12269.870733333333,11832.095366666666,11390.54825
4,sCO2,-0.00560220451859883,1.05458279104392,50.0415838063073,53.1,50.0,962.0,0.0,8.0,0.0,30.0,16.0,32.635,294127.6552740708,55788.54515916444,241811.21766448,501179.8789620873,51330.39468243082,2.960594732333751e-16,0.0,5302483.119418884,0.059633292970289985,48.24838901459016,90212.3782131757,0.000981635199991615,-0.000999839552186188,0.0,0.0,7.991157439245882,1.2243413522865018e-19,0.0,3986.656757428759,3948.588938663346,3901.2102577538294,3897.539101490337,3917.1935954810815,4031.893541185709,4169.335383436289,4112.191417326256,3767.3476548629533,3355.3202704920427,3126.995527363281,3021.0954555734343,2975.597917708385,2982.7967493368283,3052.2605046030385,3155.927495456496,3424.478436245953,3786.4702895062765,4129.530825647062,4363.461893174811,4416.0566438800215,4352.312240206327,4229.334360955138,4108.782955398058,234326.8249644237,232089.28317254552,229304.4695946418,229088.68718759867,230243.93466772136,236985.74258747115,245064.26864864412,241705.47330728776,221436.32326916693,197218.26923225453,183797.8482194639,177573.27733314963,174899.03316308177,175322.164488798,179405.08965944525,185498.4050107207,201283.23253045653,222560.30923875785,242724.64519636618,256474.59349883057,259565.9960680591,255819.24167434964,248590.87521614096,241505.1314895081,10947.632366666665,10800.227533333335,10648.626566666666,10626.08885,10697.2701,11111.279633333335,11683.524433333332,12053.196483333333,12471.831483333332,12853.000316666668,13134.73005,13290.35265,13385.434966666668,13475.70755,13516.244316666667,13481.8024,13352.75645,13097.606433333332,12831.771966720833,12653.727199883331,12522.329174133334,12269.870733333333,11832.095366666666,11390.54825
5,sCO2,-0.00560220451859883,1.05458279104392,50.0415838063073,53.1,50.0,962.0,0.0,8.0,0.0,30.0,20.0,32.635,294127.6552740708,55788.54515916444,240880.14852003756,499687.03539101785,51955.231941708815,-1.7763568394002508e-16,0.0,5286688.834436969,0.06175825420120394,48.20620337518717,89943.66637038325,0.000981635199991615,-0.0009997952315572434,0.0,0.0,6.871147484701751,-7.374442644253372e-20,0.0,3976.2011921913263,3938.4920298668567,3891.6572284600034,3888.3184566276077,3907.3373245187227,4023.917668211375,4164.2434008972605,4108.209897720376,3765.0356341537326,3354.2512267947122,3126.090353468399,3020.378593443639,2975.294059846544,2981.339793295454,3049.112427733422,3149.2318000252826,3391.0505368806253,3736.8318120881017,4084.0102032089935,4340.495785789396,4406.63743842391,4345.1176524363855,4222.06706707081,4098.344787230291,233712.27007435684,231495.80931106306,228742.9637617047,228546.7181728894,229664.60496337825,236516.93849820195,244764.97323051677,241471.44843267548,221300.42782970273,197155.4332193781,183744.64410942033,177531.14177018724,174881.17307320243,175236.5278503661,179220.0526967756,185104.84691259716,199318.41488998334,219642.6698438451,240049.04416639527,255124.69674251002,259012.3561029165,255396.3597932053,248163.71983116202,240891.59916053596,10947.632366666665,10800.227533333335,10648.626566666666,10626.08885,10697.2701,11111.279633333335,11683.524433333332,12053.196483333333,12471.831483333332,12853.000316666668,13134.73005,13290.35265,13385.434966666668,13475.70755,13516.244316666667,13481.8024,13352.75645,13097.606433333332,12831.771966720833,12653.727199883331,12522.329174133334,12269.870733333333,11832.095366666666,11390.54825
6,sCO2,-0.00560220451859883,1.05458279104392,50.0415838063073,53.1,50.0,962.0,0.0,8.0,0.0,30.0,24.0,32.635,294127.6552740708,55788.54515916444,239985.6683714434,498258.55848912545,52537.02681023741,5.921189464667501e-17,0.0,5271575.548814948,0.06388652593797894,48.16488633916383,89686.54052804252,0.000981635199991615,-0.0009998381862175165,0.0,0.0,5.828290269356302,2.4673096126318853e-20,0.0,3975.9071504947124,3938.4760175065285,3891.656765040264,3888.318471017739,3907.2132271582927,4019.321655147196,4156.0593444358365,4099.720835137718,3758.296539081061,3348.434968483629,3123.0936261481374,3019.460459656659,2972.7338006709433,2978.90713183934,3042.3361026644397,3141.114085719083,3366.354347946618,3686.7253582882067,4034.2269973365032,4307.225251353997,4389.406784072944,4331.28551939704,4214.42671325604,4095.8393761896464,233694.98695685584,231494.86814010597,228742.9365229222,228546.7190187093,229657.31079630405,236246.79506365192,244283.9325785064,240972.4801986503,220904.31879709792,196813.5664808711,183568.50313692942,177477.17590648588,174730.68672832544,175093.54141589007,178821.75536772094,184627.7057050439,197866.8277848623,216697.5238371624,237122.89795455668,253169.12866291826,257999.57653050972,254583.33775122606,247714.6368124939,240744.336667147,10947.632366666665,10800.227533333335,10648.626566666666,10626.08885,10697.2701,11111.279633333335,11683.524433333332,12053.196483333333,12471.831483333332,12853.000316666668,13134.73005,13290.35265,13385.434966666668,13475.70755,13516.244316666667,13481.8024,13352.75645,13097.606433333332,12831.771966720833,12653.727199883331,12522.329174133334,12269.870733333333,11832.095366666666,11390.54825
7,sCO2,-0.00560220451859883,1.05458279104392,50.0415838063073,53.1,50.0,962.0,0.0,8.0,0.0,30.0,28.0,32.635,294127.6552740708,55788.54515916444,239144.13191904596,496924.5238472867,53056.53434061335,0.0,0.0,5257461.462304293,0.06601963485566989,48.12483997922771,89446.4142925116,0.000981635199991615,-0.0009994077678712188,0.0,0.0,4.897082027783085,0.0,0.0,3970.167188000929,3932.8460051438005,3886.078150199561,3882.673068859402,3901.509659799938,4013.177291203871,4149.441105436716,4094.110191583444,3753.1341540913363,3342.4626794586707,3118.3867658524114,3018.8432073097365,2972.154103732304,2978.1593685852545,3041.3099929970713,3139.7506006963354,3351.345137411799,3644.7271601614066,3990.1391465335664,4272.835372509906,4374.059065724074,4322.306040908279,4207.208806480958,4089.590029830821,233357.6047169435,231163.94852456337,228415.03793950757,228214.8948251804,229322.06778157415,235885.64300520532,243894.92719733584,240642.6990386269,220600.88527936858,196462.52860373745,183291.84434843613,177440.89518520562,174696.61343048763,175049.58955351106,178761.44292171675,184547.56308537346,196984.61974342688,214228.96308059822,234531.5120573619,251147.7680064156,257097.47175200385,254055.5439600533,247290.38429204744,240377.01397561163,10947.632366666665,10800.227533333335,10648.626566666666,10626.08885,10697.2701,11111.279633333335,11683.524433333332,12053.196483333333,12471.831483333332,12853.000316666668,13134.73005,13290.35265,13385.434966666668,13475.70755,13516.244316666667,13481.8024,13352.75645,13097.606433333332,12831.771966720833,12653.727199883331,12522.329174133334,12269.870733333333,11832.095366666666,11390.54825
8,sCO2,-0.00560220451859883,1.05458279104392,50.0415838063073,53.1,50.0,962.0,0.0,8.0,0.0,30.0,32.0,32.635,294127.6552740708,55788.54515916444,238381.18115894168,495715.26709374896,53483.58373938363,0.0,0.0,5244667.525851864,0.06815936958892636,48.08832751036884,89228.74807687478,0.000981635199991615,-0.0009998032116129707,0.0,0.0,4.131603384179968,0.0,0.0,3960.4194234983006,3923.3560430518073,3876.79917709605,3873.4392384754924,3892.33087813341,4004.760567671219,4143.767842114377,4089.9732087712496,3750.2653387258197,3341.3199442898826,3118.3764951731036,3018.5554301146594,2972.0865543829673,2977.8464258293075,3041.049287179307,3138.785797003884,3345.502839532261,3611.9251422417105,3952.204047461605,4242.709126805195,4359.260545601472,4315.518268019899,4199.0160818063305,4079.4803738954915,232784.65278117792,230606.14964160067,227869.64052042336,227672.15079483733,228782.55939250818,235390.92669978616,243561.46538650058,240399.53638222124,220432.26268732877,196395.36116992755,183291.24066073017,177423.98028118387,174692.64302984325,175031.19547374482,178746.11921309482,184490.85406833937,196641.22245695183,212300.93336065163,232301.77123413215,249377.0142311054,256227.6476247976,253656.57375361412,246808.83414172768,239782.79086563498,10947.632366666665,10800.227533333335,10648.626566666666,10626.08885,10697.2701,11111.279633333335,11683.524433333332,12053.196483333333,12471.831483333332,12853.000316666668,13134.73005,13290.35265,13385.434966666668,13475.70755,13516.244316666667,13481.8024,13352.75645,13097.606433333332,12831.771966720833,12653.727199883331,12522.329174133334,12269.870733333333,11832.095366666666,11390.54825
9,sCO2,-0.00560220451859883,1.05458279104392,50.0415838063073,53.1,50.0,962.0,0.0,8.0,0.0,30.0,36.0,32.635,294127.6552740708,55788.54515916444,237671.56469414037,494588.5731904616,53847.886115061796,0.0,0.0,5232747.104355084,0.07030352481544405,48.054398661292,89025.94317428302,0.000981635199991615,-0.0009999862652847469,0.0,0.0,3.478597691633567,0.0,0.0,3955.6784041668334,3918.723415120166,3872.2206412899577,3868.9013195797615,3887.7270498529474,3998.2141842553574,4134.303354321208,4082.962097963401,3744.3767983016596,3338.503716312084,3116.1582009774843,3016.2810109109005,2971.5603705433605,2977.2543328591582,3041.049315053175,3138.6045515331025,3343.6822072445657,3587.885426275577,3912.649985998031,4207.370573289591,4336.954086366362,4307.315662359327,4193.22072887088,4074.3457408381773,232505.98620047275,230333.8540665076,227600.52436026532,227405.42200641046,228511.95659691212,235006.14483012044,243005.1638262133,239987.4388691821,220086.147366842,196229.82954767693,183160.85425745434,177290.29497465183,174661.71511304856,174996.3935647216,178746.12085145887,184480.20086233458,196534.20973693058,210887.93227775337,229976.8713992176,247299.8925855771,254916.52352086734,253174.44282089823,246468.19617474396,239480.98854482174,10947.632366666665,10800.227533333335,10648.626566666666,10626.08885,10697.2701,11111.279633333335,11683.524433333332,12053.196483333333,12471.831483333332,12853.000316666668,13134.73005,13290.35265,13385.434966666668,13475.70755,13516.244316666667,13481.8024,13352.75645,13097.606433333332,12831.771966720833,12653.727199883331,12522.329174133334,12269.870733333333,11832.095366666666,11390.54825
